EMPID, AnnualIncomeNeeded ,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,AvgOverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOption,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DiffFromSalary, CurrentSalary 
612," 199,680 ",24,74,2,1,4,2,3,0,1,0.18,3,4,1,5,5,2,4,2,1,3," 44,129 "," 155,551 "
2150," 170,560 ",36,56,4,3,2,1,1,7,13,0.23,4,2,0,10,4,3,5,3,0,3," 43,169 "," 127,391 "
76," 110,240 ",34,16,4,1,3,3,2,0,13,0.11,3,3,0,13,4,3,12,6,2,11," 17,032 "," 93,208 "
2764," 199,680 ",21,37,2,3,3,1,4,1,11,0.14,3,4,0,0,6,3,0,0,0,0," 36,541 "," 163,139 "
1196," 172,640 ",34,38,1,2,3,1,1,2,15,0.11,3,3,0,8,2,3,4,2,1,3," 23,600 "," 149,040 "
1012," 120,640 ",53,109,3,3,3,5,3,4,5,0.11,3,4,1,26,3,2,14,13,4,8," 16,491 "," 104,149 "
548," 149,760 ",32,17,1,2,1,1,1,1,12,0.22,4,2,0,10,5,3,10,2,6,7," 38,788 "," 110,972 "
1650," 99,840 ",42,23,4,3,3,2,2,0,8,0.11,3,4,1,10,2,3,9,7,4,2," 14,537 "," 85,303 "
2404," 87,360 ",44,117,4,1,2,3,4,3,12,0.14,3,4,1,24,4,3,22,6,5,17," 13,733 "," 73,627 "
2538," 172,640 ",46,14,4,2,3,5,1,3,5,0.12,3,4,0,22,2,2,2,2,2,1," 28,313 "," 144,327 "
2082," 162,240 ",33,81,3,3,3,1,4,4,8,0.11,3,4,0,7,3,3,1,1,0,0," 26,510 "," 135,730 "
2550," 85,280 ",44,68,4,4,3,2,4,2,2,0.13,3,4,0,9,5,4,4,2,1,3," 12,570 "," 72,710 "
2142," 172,640 ",30,70,2,4,2,1,3,1,8,0.13,3,1,0,10,5,3,10,0,1,8," 28,451 "," 144,189 "
1644," 116,480 ",39,30,3,4,3,2,4,3,4,0.14,3,3,1,19,6,4,1,0,0,0," 20,314 "," 96,166 "
1180," 126,880 ",24,81,3,2,3,1,4,2,13,0.16,3,1,1,6,2,2,2,0,2,0," 24,564 "," 102,316 "
738," 149,760 ",43,105,2,4,4,1,3,1,2,0.12,3,4,2,6,3,2,5,3,1,4," 25,879 "," 123,881 "
974," 178,880 ",50,70,2,1,2,1,3,1,3,0.14,3,3,0,3,2,3,3,2,0,2," 32,735 "," 146,145 "
2664," 201,760 ",35,99,3,4,3,1,4,1,6,0.13,3,1,0,2,3,3,2,2,2,2," 29,739 "," 172,021 "
2392," 170,560 ",36,70,4,2,2,1,1,9,4,0.14,3,4,1,6,3,4,1,1,0,0," 32,679 "," 137,881 "
2244," 87,360 ",33,106,3,3,4,2,1,2,4,0.19,3,1,2,10,3,3,5,3,1,3," 18,721 "," 68,639 "
1066," 156,000 ",35,8,2,3,3,1,4,1,12,0.12,3,3,1,1,3,3,1,0,0,0," 26,957 "," 129,043 "
2050," 68,640 ",27,22,4,4,3,1,1,1,14,0.13,3,4,1,1,6,3,1,0,0,0," 10,715 "," 57,925 "
1872," 99,840 ",26,24,3,1,1,1,3,1,13,0.12,3,3,0,1,2,2,1,0,0,1," 15,495 "," 84,345 "
2310," 76,960 ",27,45,3,4,3,3,3,1,9,0.15,3,4,0,9,0,3,9,8,1,7," 14,161 "," 62,799 "
1530," 120,640 ",30,39,2,3,3,2,4,1,14,0.23,4,4,0,12,2,3,12,8,3,7," 32,392 "," 88,248 "
2024," 101,920 ",41,118,3,2,3,5,3,1,13,0.12,3,4,0,23,0,3,22,15,15,8," 16,715 "," 85,205 "
1624," 149,760 ",34,15,4,2,3,2,3,0,14,0.2,4,3,0,10,2,3,9,5,8,7," 33,546 "," 116,214 "
2704," 151,840 ",37,86,2,2,3,1,2,4,14,0.21,4,1,0,8,1,3,1,0,0,0," 39,084 "," 112,756 "
1200," 203,840 ",46,73,4,1,3,2,4,4,9,0.21,4,3,0,14,4,3,9,6,0,8," 49,248 "," 154,592 "
2446," 74,880 ",35,115,1,4,4,1,4,1,10,0.19,3,4,0,1,2,3,1,0,0,1," 15,440 "," 59,440 "
1456," 203,840 ",48,35,2,1,2,3,3,9,10,0.13,3,4,0,23,2,3,1,0,0,0," 37,140 "," 166,700 "
268," 104,000 ",28,64,4,3,3,1,3,1,2,0.13,3,3,0,2,3,2,2,2,2,2," 16,234 "," 87,766 "
2738," 156,000 ",44,9,5,2,3,2,1,5,1,0.21,4,3,1,9,2,2,4,3,1,3," 37,690 "," 118,310 "
106," 164,320 ",35,29,2,3,2,3,1,2,1,0.13,3,3,1,10,3,3,4,0,2,3," 25,650 "," 138,670 "
2902," 97,760 ",26,33,3,3,2,2,4,7,10,0.19,3,3,1,5,2,2,2,2,0,0," 21,742 "," 76,018 "
662," 203,840 ",33,34,2,1,3,3,4,1,9,0.12,3,3,0,15,1,3,15,14,8,12," 33,430 "," 170,410 "
2028," 147,680 ",35,35,5,2,3,3,1,1,9,0.22,4,4,1,9,3,2,9,8,1,8," 35,945 "," 111,735 "
1422," 62,400 ",35,27,4,3,3,1,1,3,7,0.15,3,3,1,4,3,3,2,2,2,2," 10,951 "," 51,449 "
732," 99,840 ",31,84,4,4,3,2,4,3,2,0.22,4,4,1,10,3,2,7,7,1,7," 25,859 "," 73,981 "
2064," 106,080 ",37,97,4,1,2,2,3,1,10,0.18,3,3,1,7,2,4,7,5,0,7," 24,314 "," 81,766 "
2134," 68,640 ",32,42,3,1,3,2,4,1,9,0.22,4,2,1,9,3,3,9,8,7,8," 17,242 "," 51,398 "
778," 104,000 ",38,84,5,4,3,2,4,1,9,0.11,3,4,0,10,2,3,10,3,9,9," 16,068 "," 87,932 "
2924," 89,440 ",50,55,2,2,2,5,3,5,11,0.12,3,4,1,29,2,2,27,3,13,8," 15,455 "," 73,985 "
896," 205,920 ",59,73,3,1,3,3,1,7,8,0.11,3,4,0,28,3,2,21,16,7,9," 29,982 "," 175,938 "
2372," 122,720 ",36,25,3,3,3,3,3,1,3,0.13,3,2,3,17,2,3,17,14,12,8," 21,292 "," 101,428 "
2328," 68,640 ",55,95,3,4,3,4,3,2,11,0.14,3,3,3,21,2,3,5,0,0,2," 11,971 "," 56,669 "
1104," 197,600 ",36,119,3,2,2,2,2,1,7,0.13,3,3,0,6,3,3,6,5,0,3," 32,564 "," 165,036 "
2758," 122,720 ",45,97,3,2,3,3,1,2,3,0.17,3,3,1,25,2,3,1,0,0,0," 24,937 "," 97,783 "
1130," 164,320 ",35,57,3,2,3,1,1,4,13,0.13,3,4,1,5,2,2,3,2,1,2," 27,080 "," 137,240 "
1480," 164,320 ",36,34,3,4,2,1,3,0,10,0.17,3,1,1,2,0,2,1,0,0,0," 33,390 "," 130,930 "
2600," 118,560 ",59,92,1,1,2,2,3,7,2,0.11,3,4,0,20,2,2,4,3,1,3," 18,318 "," 100,242 "
1396," 158,080 ",29,31,3,3,3,1,2,0,4,0.23,4,4,1,6,3,3,5,4,0,4," 43,662 "," 114,418 "
924," 180,960 ",31,73,4,3,3,1,2,1,13,0.17,3,2,0,1,4,3,1,1,1,0," 39,775 "," 141,185 "
1114," 137,280 ",32,25,3,2,3,2,2,1,5,0.17,3,2,2,10,3,3,10,4,0,9," 27,895 "," 109,385 "
2380," 114,400 ",36,33,3,2,4,1,4,3,2,0.12,3,2,0,5,3,3,1,0,0,0," 17,755 "," 96,645 "
304," 126,880 ",31,37,4,3,3,2,4,1,14,0.23,4,4,0,11,2,3,11,7,1,8," 35,044 "," 91,836 "
1230," 66,560 ",35,84,4,3,2,2,1,0,4,0.14,3,2,0,16,2,3,15,13,2,8," 12,753 "," 53,807 "
416," 108,160 ",45,54,4,4,3,3,1,4,12,0.14,3,2,0,17,3,4,0,0,0,0," 19,793 "," 88,367 "
500," 62,400 ",37,101,4,1,3,3,3,4,6,0.13,3,1,0,16,3,4,5,2,0,2," 9,741 "," 52,659 "
2884," 166,400 ",46,70,2,2,3,2,2,8,13,0.22,4,4,1,16,2,3,4,2,0,2," 43,098 "," 123,302 "
1288," 114,400 ",30,106,1,4,2,2,4,1,4,0.12,3,3,2,10,1,2,10,8,3,0," 15,741 "," 98,659 "
1110," 62,400 ",35,96,3,2,2,1,3,1,1,0.18,3,1,0,6,3,3,6,4,0,4," 13,790 "," 48,610 "
492," 145,600 ",55,62,2,1,3,3,4,3,14,0.14,3,4,1,24,4,3,1,0,1,0," 26,645 "," 118,955 "
1490," 164,320 ",38,53,3,2,1,2,4,7,2,0.12,3,4,3,17,3,3,13,11,1,9," 24,056 "," 140,264 "
2474," 195,520 ",34,102,2,1,3,2,2,1,15,0.15,3,3,0,5,2,3,5,2,1,3," 32,652 "," 162,868 "
840," 101,920 ",56,79,3,4,1,3,4,4,3,0.11,3,1,0,37,3,2,6,4,0,2," 16,654 "," 85,266 "
1330," 128,960 ",23,83,1,3,3,1,1,3,3,0.13,3,3,1,3,3,3,0,0,0,0," 21,253 "," 107,707 "
1112," 199,680 ",51,53,4,4,3,1,4,3,2,0.23,4,2,2,10,4,3,4,2,0,3," 50,539 "," 149,141 "
1120," 205,920 ",30,107,3,3,2,2,4,1,1,0.19,3,1,3,11,3,3,11,10,10,8," 44,129 "," 161,791 "
1834," 133,120 ",46,33,2,3,2,3,4,1,11,0.16,3,4,0,9,3,3,9,8,4,7," 28,008 "," 105,112 "
1096," 162,240 ",40,71,4,3,2,4,2,1,2,0.22,4,4,1,22,3,2,22,3,11,11," 38,224 "," 124,016 "
12," 147,680 ",51,76,4,3,3,2,4,0,14,0.22,4,4,0,11,2,1,10,7,1,0," 35,945 "," 111,735 "
248," 131,040 ",30,65,2,3,2,2,2,1,12,0.12,3,2,3,11,4,2,11,8,2,7," 19,184 "," 111,856 "
332," 83,200 ",46,36,3,3,2,3,1,2,13,0.13,3,3,1,21,5,2,10,9,9,5," 15,159 "," 68,041 "
1004," 180,960 ",32,112,4,2,3,2,3,1,12,0.16,3,1,0,12,0,3,11,8,5,7," 31,994 "," 148,966 "
1840," 124,800 ",54,120,4,1,3,3,3,9,7,0.12,3,1,1,16,5,1,4,3,0,3," 19,369 "," 105,431 "
1064," 68,640 ",24,94,2,1,3,2,3,0,9,0.21,4,1,1,4,2,2,3,2,0,2," 16,583 "," 52,057 "
278," 89,440 ",28,80,3,2,3,2,3,1,10,0.15,3,2,0,5,3,4,5,4,0,4," 15,697 "," 73,743 "
528," 76,960 ",58,71,4,4,3,4,3,0,4,0.13,3,3,0,38,1,2,37,10,1,8," 14,022 "," 62,938 "
1556," 139,360 ",44,122,3,2,3,2,2,4,7,0.12,3,3,1,17,3,4,3,2,1,2," 22,855 "," 116,505 "
346," 131,040 ",37,37,4,3,3,1,1,4,15,0.22,4,4,0,7,3,3,3,2,0,2," 34,961 "," 96,079 "
1580," 147,680 ",32,30,1,4,3,1,1,1,6,0.13,3,4,0,1,2,3,1,0,0,0," 25,622 "," 122,058 "
514," 137,280 ",20,9,3,4,2,1,4,1,7,0.18,3,2,0,1,5,3,1,0,1,0," 28,087 "," 109,193 "
874," 85,280 ",34,89,4,1,3,2,3,1,15,0.14,3,3,0,16,3,3,16,13,2,10," 15,606 "," 69,674 "
692," 208,000 ",37,47,2,3,2,2,4,5,10,0.14,3,4,1,17,2,4,1,0,0,0," 38,064 "," 169,936 "
2074," 66,560 ",59,52,4,3,2,5,4,9,9,0.21,4,4,1,30,3,3,3,2,2,2," 16,607 "," 49,953 "
2144," 151,840 ",50,23,3,1,3,5,2,3,4,0.19,3,1,0,28,1,2,8,3,0,7," 32,539 "," 119,301 "
1106," 95,680 ",25,74,3,3,2,2,3,1,1,0.11,3,4,0,6,1,3,6,4,0,3," 12,228 "," 83,452 "
1312," 133,120 ",25,43,1,4,2,1,4,1,9,0.11,3,3,2,2,2,3,2,2,2,1," 19,382 "," 113,738 "
2594," 122,720 ",22,23,3,2,3,1,4,1,10,0.15,3,3,0,1,5,3,0,0,0,0," 23,624 "," 99,096 "
2058," 62,400 ",51,84,4,1,2,3,1,3,2,0.2,4,3,0,23,1,2,13,12,12,8," 13,978 "," 48,422 "
354," 137,280 ",34,106,3,1,1,2,3,1,5,0.24,4,4,0,9,3,3,9,7,0,6," 35,034 "," 102,246 "
196," 62,400 ",54,27,3,4,4,4,4,2,1,0.12,3,3,0,23,3,3,5,3,4,4," 10,234 "," 52,166 "
400," 108,160 ",24,68,1,2,3,1,3,0,10,0.12,3,3,1,6,2,3,5,3,1,2," 16,786 "," 91,374 "
1762," 93,600 ",34,111,4,3,2,2,2,6,7,0.15,3,3,1,12,3,3,1,0,0,0," 18,814 "," 74,786 "
1236," 180,960 ",37,60,3,3,3,3,4,2,14,0.12,3,1,0,12,3,3,5,3,1,3," 29,677 "," 151,283 "
1350," 93,600 ",34,68,3,3,2,3,1,2,3,0.12,3,4,0,14,6,3,11,10,5,8," 12,879 "," 80,721 "
2232," 191,360 ",36,9,2,2,3,3,4,0,12,0.14,3,3,1,10,6,3,9,7,2,8," 31,727 "," 159,633 "
2688," 81,120 ",36,70,2,1,3,1,4,5,13,0.22,4,1,1,7,2,3,1,0,0,0," 21,010 "," 60,110 "
24," 191,360 ",43,24,2,3,3,4,4,1,13,0.12,3,4,2,25,3,4,25,12,4,12," 29,699 "," 161,661 "
2496," 199,680 ",30,36,3,1,1,1,3,1,5,0.25,4,3,3,10,2,2,10,7,0,9," 54,413 "," 145,267 "
1874," 197,600 ",33,38,2,3,3,2,2,0,5,0.13,3,1,1,8,2,4,7,7,0,7," 36,003 "," 161,597 "
2836," 149,760 ",56,117,4,2,3,1,2,9,2,0.18,3,1,3,7,2,3,5,4,4,3," 33,097 "," 116,663 "
1328," 106,080 ",51,21,3,1,3,5,3,7,3,0.13,3,3,0,23,5,3,20,18,15,15," 17,482 "," 88,598 "
402," 158,080 ",31,36,4,2,1,2,3,4,9,0.18,3,2,0,12,3,2,7,7,7,7," 33,639 "," 124,441 "
1202," 95,680 ",26,62,3,3,2,1,2,1,11,0.19,3,3,0,5,3,2,5,4,4,3," 20,504 "," 75,176 "
1406," 195,520 ",58,17,4,4,3,3,4,1,14,0.12,3,4,1,40,3,2,40,10,15,6," 32,065 "," 163,455 "
1294," 104,000 ",19,101,1,4,3,1,3,1,3,0.19,3,4,0,0,2,2,0,0,0,0," 23,972 "," 80,028 "
594," 208,000 ",22,37,1,3,3,1,4,0,12,0.14,3,3,1,3,2,3,2,1,2,1," 38,064 "," 169,936 "
88," 199,680 ",49,50,4,3,3,2,1,1,10,0.14,3,3,0,16,2,2,15,11,5,11," 38,259 "," 161,421 "
984," 149,760 ",43,33,3,2,4,1,3,4,4,0.12,3,4,0,18,2,3,3,2,1,2," 24,561 "," 125,199 "
84," 160,160 ",50,120,3,3,3,3,4,4,6,0.11,3,4,0,16,3,3,2,2,2,1," 26,170 "," 133,990 "
1800," 147,680 ",31,45,3,2,1,2,3,3,4,0.11,3,3,1,4,2,3,2,2,2,2," 21,502 "," 126,178 "
1198," 199,680 ",41,26,1,3,3,3,3,3,15,0.13,3,3,1,12,2,3,9,7,0,7," 32,907 "," 166,773 "
938," 126,880 ",26,43,1,3,3,1,3,1,15,0.23,4,4,1,8,3,3,8,7,5,7," 34,067 "," 92,813 "
2406," 174,720 ",36,78,2,2,3,2,2,6,2,0.2,4,4,2,7,0,3,3,2,0,1," 37,740 "," 136,980 "
1126," 110,240 ",51,115,4,1,1,3,4,2,8,0.15,3,4,0,18,2,3,4,2,0,3," 21,221 "," 89,019 "
1612," 97,760 ",39,77,4,4,2,2,3,4,9,0.14,3,3,1,17,1,4,15,11,5,9," 15,368 "," 82,392 "
812," 85,280 ",25,88,3,1,2,2,3,2,8,0.18,3,4,0,6,3,3,2,2,2,2," 16,749 "," 68,531 "
1538," 99,840 ",30,35,3,3,3,2,4,0,11,0.19,3,4,0,12,2,1,11,9,4,7," 21,396 "," 78,444 "
2434," 85,280 ",32,78,3,1,3,1,1,7,10,0.22,4,1,0,10,2,4,5,4,0,4," 21,422 "," 63,858 "
1832," 172,640 ",45,31,3,3,3,1,4,5,13,0.13,3,2,0,9,2,2,6,5,0,3," 29,953 "," 142,687 "
848," 66,560 ",38,60,5,4,3,2,3,3,6,0.2,4,2,0,19,2,3,3,2,2,2," 14,909 "," 51,651 "
46," 156,000 ",30,108,3,1,3,1,3,1,3,0.14,3,3,0,5,4,2,5,4,0,4," 25,865 "," 130,135 "
1528," 72,800 ",32,61,2,4,1,2,4,0,14,0.17,3,4,3,9,2,4,8,7,0,7," 15,397 "," 57,403 "
798," 174,720 ",30,86,3,4,3,1,1,5,11,0.14,3,4,1,8,3,3,3,2,2,2," 33,476 "," 141,244 "
1772," 72,800 ",30,118,1,2,2,1,4,0,7,0.13,3,4,0,6,3,3,5,3,1,2," 12,631 "," 60,169 "
2606," 189,280 ",41,78,3,4,2,4,1,4,3,0.13,3,2,1,21,2,2,7,6,7,7," 27,900 "," 161,380 "
2294," 195,520 ",41,71,4,3,3,1,1,2,15,0.21,4,4,1,7,2,3,5,0,1,4," 45,693 "," 149,827 "
936," 164,320 ",19,15,1,2,3,1,2,1,4,0.14,3,4,0,1,3,3,1,0,0,0," 27,244 "," 137,076 "
906," 112,320 ",40,34,3,2,3,2,2,1,8,0.11,3,1,1,20,2,3,20,7,2,13," 14,354 "," 97,966 "
1044," 195,520 ",35,82,5,3,3,3,2,1,10,0.13,3,1,2,10,3,3,10,8,0,6," 30,521 "," 164,999 "
2376," 70,720 ",53,27,2,2,3,2,3,2,5,0.2,4,4,1,13,3,1,7,7,4,5," 17,539 "," 53,181 "
1466," 124,800 ",45,71,3,2,3,2,2,8,15,0.18,3,3,1,20,2,1,17,9,0,15," 26,557 "," 98,243 "
1356," 89,440 ",32,107,3,2,3,3,4,1,2,0.14,3,4,0,9,2,3,9,8,3,7," 15,598 "," 73,842 "
2906," 85,280 ",29,81,1,4,3,2,3,1,14,0.13,3,1,1,10,1,3,10,7,0,9," 13,312 "," 71,968 "
2822," 70,720 ",51,84,4,2,2,2,3,2,6,0.17,3,3,0,10,2,3,1,0,0,0," 14,370 "," 56,350 "
1628," 156,000 ",58,87,3,2,2,1,2,4,6,0.2,4,2,1,9,3,2,1,0,0,0," 33,696 "," 122,304 "
2270," 139,360 ",40,79,4,3,2,3,4,7,5,0.11,3,1,1,15,2,2,12,11,2,11," 21,531 "," 117,829 "
1816," 156,000 ",34,65,4,3,3,1,3,6,5,0.18,3,4,1,6,3,3,4,3,1,2," 34,476 "," 121,524 "
1830," 166,400 ",22,118,1,3,3,1,4,1,2,0.24,4,1,2,2,6,3,2,2,2,2," 44,995 "," 121,405 "
1168," 118,560 ",27,86,3,4,3,1,2,6,11,0.18,3,4,1,6,1,1,2,2,2,2," 27,174 "," 91,386 "
38," 87,360 ",28,74,3,3,3,1,4,1,14,0.11,3,3,1,5,2,1,5,2,0,2," 13,497 "," 73,863 "
2022," 172,640 ",57,58,2,3,4,3,4,3,1,0.16,3,2,1,12,2,1,5,3,1,4," 34,873 "," 137,767 "
2060," 164,320 ",27,30,3,3,2,1,3,1,13,0.15,3,4,1,1,2,2,1,1,0,1," 33,028 "," 131,292 "
2104," 110,240 ",50,107,3,3,3,5,2,3,15,0.15,3,2,0,21,5,3,5,4,4,4," 19,347 "," 90,893 "
102," 116,480 ",41,30,3,1,3,1,3,4,14,0.12,3,1,1,13,2,3,9,8,1,8," 20,128 "," 96,352 "
1392," 85,280 ",30,115,3,2,3,3,4,2,13,0.12,3,3,1,12,2,3,10,9,7,4," 14,736 "," 70,544 "
264," 122,720 ",38,53,4,1,2,2,4,4,5,0.22,4,3,0,12,2,4,8,3,0,7," 32,742 "," 89,978 "
1134," 89,440 ",32,25,5,3,3,1,3,3,10,0.2,4,1,0,8,2,3,5,4,1,4," 21,466 "," 67,974 "
300," 106,080 ",27,39,3,3,3,1,2,0,8,0.16,3,4,1,6,3,2,5,2,1,1," 22,319 "," 83,761 "
2830," 208,000 ",19,58,1,3,1,1,1,0,14,0.21,4,1,0,1,5,4,0,0,0,0," 50,253 "," 157,747 "
2336," 62,400 ",36,108,2,4,3,1,2,4,3,0.12,3,3,0,13,3,2,8,7,7,2," 9,135 "," 53,265 "
2402," 137,280 ",30,54,3,3,3,2,1,1,6,0.11,3,3,2,12,4,3,12,9,6,10," 21,210 "," 116,070 "
2812," 62,400 ",45,99,2,3,3,2,1,4,1,0.11,3,1,1,9,3,4,5,4,0,3," 8,530 "," 53,870 "
2432," 139,360 ",56,91,3,3,3,1,1,4,4,0.18,3,3,1,19,3,3,2,2,2,2," 30,799 "," 108,561 "
1582," 187,200 ",33,72,3,3,3,1,4,0,8,0.14,3,1,0,4,2,4,3,1,0,2," 29,428 "," 157,772 "
554," 97,760 ",19,97,3,2,2,1,4,1,2,0.22,4,3,0,1,3,2,1,0,1,0," 26,082 "," 71,678 "
2460," 191,360 ",46,28,2,2,3,3,1,1,2,0.25,4,3,3,24,2,3,24,13,15,7," 50,710 "," 140,650 "
68," 156,000 ",38,68,2,3,3,1,4,1,8,0.12,3,3,0,2,3,3,2,2,2,1," 22,838 "," 133,162 "
1166," 197,600 ",31,71,1,3,3,1,4,8,3,0.23,4,3,1,7,0,3,4,2,0,2," 51,534 "," 146,066 "
2046," 197,600 ",34,19,2,4,3,1,2,2,5,0.15,3,4,0,9,3,3,3,2,1,2," 38,038 "," 159,562 "
2148," 145,600 ",41,118,2,2,3,1,2,1,9,0.22,4,4,0,4,5,2,4,3,0,2," 34,303 "," 111,297 "
1118," 178,880 ",50,65,3,3,2,1,3,2,15,0.15,3,4,1,5,2,2,3,2,0,2," 32,914 "," 145,966 "
2438," 118,560 ",53,76,2,4,4,2,1,1,8,0.11,3,3,2,5,3,3,4,2,1,3," 17,262 "," 101,298 "
2554," 149,760 ",33,58,3,4,3,1,2,1,13,0.13,3,4,1,8,5,3,8,7,1,6," 27,286 "," 122,474 "
772," 95,680 ",40,65,1,4,3,5,3,1,10,0.14,3,2,1,21,2,3,20,8,9,9," 15,041 "," 80,639 "
414," 126,880 ",55,91,4,3,4,5,2,8,9,0.11,3,4,0,36,3,3,24,15,2,15," 20,732 "," 106,148 "
628," 93,600 ",34,95,1,4,2,2,3,1,15,0.17,3,3,0,10,2,2,10,9,1,9," 17,466 "," 76,134 "
1826," 203,840 ",51,50,3,4,3,4,2,3,1,0.18,3,3,0,21,6,3,7,7,1,0," 41,706 "," 162,134 "
8," 135,200 ",52,63,4,3,2,5,3,0,14,0.14,3,1,1,34,5,3,33,18,11,9," 21,253 "," 113,947 "
2138," 205,920 ",27,114,3,4,3,1,2,1,8,0.16,3,4,0,7,2,2,7,7,0,3," 38,136 "," 167,784 "
184," 104,000 ",35,67,2,2,2,2,3,3,15,0.13,3,1,0,8,1,3,1,0,0,1," 17,139 "," 86,861 "
2384," 76,960 ",43,61,3,4,4,1,4,4,5,0.14,3,4,3,7,3,4,5,4,2,2," 14,746 "," 62,214 "
2612," 135,200 ",45,36,2,1,2,4,4,9,15,0.23,4,4,1,22,1,3,20,8,11,8," 35,260 "," 99,940 "
1744," 135,200 ",37,42,3,2,4,1,1,1,7,0.12,3,1,1,8,3,2,8,7,1,7," 20,983 "," 114,217 "
398," 76,960 ",35,45,3,2,3,2,2,5,6,0.11,3,4,0,10,5,3,6,2,1,2," 9,835 "," 67,125 "
1014," 74,880 ",42,10,2,3,3,2,3,2,4,0.16,3,2,1,11,5,3,5,3,0,2," 15,755 "," 59,125 "
972," 183,040 ",38,13,4,4,3,2,3,9,13,0.14,3,2,0,14,3,3,1,0,0,0," 28,774 "," 154,266 "
1088," 112,320 ",38,98,3,4,3,2,4,3,9,0.18,3,1,1,9,3,1,7,7,1,7," 22,981 "," 89,339 "
290," 124,800 ",27,69,1,3,2,2,1,5,1,0.19,3,3,1,6,1,3,2,2,2,0," 26,745 "," 98,055 "
584," 191,360 ",49,15,4,4,3,2,4,1,12,0.15,3,1,2,7,0,3,7,7,1,7," 33,584 "," 157,776 "
200," 89,440 ",34,102,4,4,3,1,3,1,15,0.17,3,4,1,5,4,4,5,3,2,0," 16,690 "," 72,750 "
2320," 205,920 ",40,47,2,3,3,2,4,8,7,0.15,3,3,1,15,2,4,7,2,3,7," 36,139 "," 169,781 "
1936," 145,600 ",38,73,1,2,3,2,1,7,13,0.19,3,2,0,17,2,3,1,0,0,0," 32,381 "," 113,219 "
1344," 72,800 ",29,102,3,2,3,3,4,1,3,0.22,4,4,3,10,3,2,10,4,1,9," 17,720 "," 55,080 "
